n,condition,class,precision,recall,f1,support,low_support_flag,n_total,accuracy,macro_f1,weighted_f1,n_out_of_taxonomy_pred
3,C,불만제기,0.05511811023622047,0.03357314148681055,0.041728763040238454,417,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,배송확인,0.4060846560846561,0.6469968387776607,0.4989841527834214,949,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,교환반품,0.6139613120269134,0.5521936459909228,0.5814416567104739,1322,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,구매진행,0.25722543352601157,0.48633879781420764,0.33648393194706994,549,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,서비스이용,0.33162142333088773,0.41278538812785387,0.3677786818551668,1095,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,D,환불요청,0.7703071672354949,0.4682572614107884,0.5824516129032258,4820,False,9658,0.4787740733071029,0.39045795437655284,0.5009371374556408,0
3,D,주문취소,0.16986301369863013,0.4901185770750988,0.25228891149542215,506,False,9658,0.4787740733071029,0.39045795437655284,0.5009371374556408,0
3,D,불만제기,0.07119741100323625,0.05275779376498801,0.06060606060606061,417,False,9658,0.4787740733071029,0.39045795437655284,0.5009371374556408,0
3,D,배송확인,0.42016238159675234,0.6543730242360379,0.511742892459827,949,False,9658,0.4787740733071029,0.39045795437655284,0.5009371374556408,0
3,D,교환반품,0.6116504854368932,0.5718608169440242,0.5910867865519938,1322,False,9658,0.4787740733071029,0.39045795437655284,0.5009371374556408,0
3,D,구매진행,0.281615302869288,0.48269581056466304,0.35570469798657717,549,False,9658,0.4787740733071029,0.39045795437655284,0.5009371374556408,0
3,D,서비스이용,0.34892638036809814,0.4155251141552511,0.3793247186327636,1095,False,9658,0.4787740733071029,0.39045795437655284,0.5009371374556408,0
5,A,환불요청,0.7972367438386856,0.4429460580912863,0.5694851960522807,4820,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,주문취소,0.1739915713425647,0.5711462450592886,0.2667281956622058,506,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,불만제기,0.0821256038647343,0.0407673860911271,0.05448717948717949,417,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,배송확인,0.4311868686868687,0.7197049525816649,0.5392814844058429,949,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,교환반품,0.601312551271534,0.5544629349470499,0.5769382133018497,1322,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,구매진행,0.3110195674562307,0.5500910746812386,0.3973684210526316,549,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,A,서비스이용,0.3609865470852018,0.4410958904109589,0.3970406905055487,1095,False,9658,0.4806378132118451,0.40018991149536276,0.5001045280359168,0
5,B,환불요청,0.7962291515591008,0.45560165975103734,0.5795724465558195,4820,False,9658,0.4887140194657279,0.4078707821149962,0.5084743494271683,0
5,B,주문취소,0.17636252296387017,0.5691699604743083,0.26928471248246844,506,False,9658,0.4887140194657279,0.4078707821149962,0.5084743494271683,0
5,B,불만제기,0.0694980694980695,0.04316546762589928,0.05325443786982249,417,False,9658,0.4887140194657279,0.4078707821149962,0.5084743494271683,0
5,B,배송확인,0.4451058201058201,0.7091675447839831,0.5469321414059325,949,False,9658,0.4887140194657279,0.4078707821149962,0.5084743494271683,0
5,B,교환반품,0.58700882117081,0.5537065052950075,0.5698715453483846,1322,False,9658,0.4887140194657279,0.4078707821149962,0.5084743494271683,0
5,B,구매진행,0.33663366336633666,0.5573770491803278,0.41975308641975306,549,False,9658,0.4887140194657279,0.4078707821149962,0.5084743494271683,0
5,B,서비스이용,0.3783582089552239,0.46301369863013697,0.4164271047227926,1095,False,9658,0.4887140194657279,0.4078707821149962,0.5084743494271683,0
5,C,환불요청,0.8323814962878355,0.6047717842323651,0.7005527517423696,4820,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,주문취소,0.22788605697151423,0.6007905138339921,0.33043478260869563,506,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,불만제기,0.1111111111111111,0.03836930455635491,0.0570409982174688,417,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,배송확인,0.5087131367292225,0.7997892518440464,0.6218762802130274,949,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,교환반품,0.6477675407512402,0.6913767019667171,0.6688620563483352,1322,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,구매진행,0.40828402366863903,0.6284153005464481,0.4949784791965567,549,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,C,서비스이용,0.5505376344086022,0.46757990867579907,0.505679012345679,1095,False,9658,0.5969144750465935,0.4827749086674475,0.6075282969214119,0
5,D,환불요청,0.8291654959258219,0.612240663900415,0.7043799976130803,4820,False,9658,0.602091530337544,0.486690606757027,0.611944065172088,0
5,D,주문취소,0.2311212814645309,0.5988142292490118,0.33351678591084205,506,False,9658,0.602091530337544,0.486690606757027,0.611944065172088,0
5,D,불만제기,0.11363636363636363,0.03597122302158273,0.0546448087431694,417,False,9658,0.602091530337544,0.486690606757027,0.611944065172088,0
5,D,배송확인,0.5122282608695652,0.7945205479452054,0.6228831061544816,949,False,9658,0.602091530337544,0.486690606757027,0.611944065172088,0
5,D,교환반품,0.6451841359773371,0.68910741301059,0.6664228237015362,1322,False,9658,0.602091530337544,0.486690606757027,0.611944065172088,0
5,D,구매진행,0.41656365883807167,0.6138433515482696,0.4963181148748159,549,False,9658,0.602091530337544,0.486690606757027,0.611944065172088,0
5,D,서비스이용,0.564901349948079,0.4968036529680365,0.5286686103012633,1095,False,9658,0.602091530337544,0.486690606757027,0.611944065172088,0
