section,n,condition,pair,metric,v_base,v3_orig,delta,class
음향델타_불만제기,3,,all,acoustic_delta_precision,-0.002114576667315876,0.02651454282500401,0.028629119492319888,불만제기
음향델타_불만제기,3,,all,acoustic_delta_f1,0.001128379816904404,0.01869419768483708,0.017565817867932675,불만제기
음향델타_기타클래스,3,,all,acoustic_delta_recall,0.0021074815595363283,-0.02950474183350893,-0.03161222339304526,배송확인
음향델타_기타클래스,3,,all,acoustic_delta_precision,0.01239360478490914,0.032210033518934034,0.019816428734024893,배송확인
음향델타_기타클래스,3,,all,acoustic_delta_f1,0.009896475056314247,0.013701761477296015,0.0038052864209817683,배송확인
음향델타_기타클래스,3,,all,acoustic_delta_recall,0.02344931921331317,-0.14447806354009074,-0.1679273827534039,교환반품
음향델타_기타클래스,3,,all,acoustic_delta_precision,-0.011904350001596953,0.04901531773938428,0.06091966774098123,교환반품
음향델타_기타클래스,3,,all,acoustic_delta_f1,0.0071120942562701295,-0.07652362392358858,-0.08363571817985871,교환반품
음향델타_기타클래스,3,,all,acoustic_delta_recall,0.009107468123861595,0.014571948998178486,0.0054644808743168904,구매진행
음향델타_기타클래스,3,,all,acoustic_delta_precision,0.028789287819940057,0.006184528159812186,-0.02260475966012787,구매진행
음향델타_기타클래스,3,,all,acoustic_delta_f1,0.026182734719596756,0.008776582804970234,-0.017406151914626522,구매진행
음향델타_기타클래스,3,,all,acoustic_delta_recall,-0.006392694063926951,0.1963470319634703,0.20273972602739726,서비스이용
음향델타_기타클래스,3,,all,acoustic_delta_precision,0.01307261230040585,-0.026916078424537804,-0.039988690724943654,서비스이용
음향델타_기타클래스,3,,all,acoustic_delta_f1,0.005230538597473577,0.038433254807439754,0.03320271620996618,서비스이용
음향델타_기타클래스,5,,customer_only,acoustic_delta_recall,0.013692946058091293,0.04128630705394193,0.027593360995850635,환불요청
음향델타_기타클래스,5,,customer_only,acoustic_delta_precision,0.00109477592917806,0.01941825966026467,0.01832348373108661,환불요청
음향델타_기타클래스,5,,customer_only,acoustic_delta_f1,0.011483525077454093,0.03848562968358804,0.027002104606133948,환불요청
음향델타_기타클래스,5,,customer_only,acoustic_delta_recall,-0.007905138339921014,-0.09486166007905139,-0.08695652173913038,주문취소
음향델타_기타클래스,5,,customer_only,acoustic_delta_precision,0.002369814796049141,0.01989418891487696,0.017524374118827818,주문취소
음향델타_기타클래스,5,,customer_only,acoustic_delta_f1,0.0018863189466537533,0.008857853508749014,0.006971534562095261,주문취소
음향델타_불만제기,5,,customer_only,acoustic_delta_recall,0.0047961630695443624,0.05275779376498801,0.047961630695443645,불만제기
음향델타_불만제기,5,,customer_only,acoustic_delta_precision,-0.009882257857129748,0.06125674907644216,0.0711390069335719,불만제기
음향델타_불만제기,5,,customer_only,acoustic_delta_f1,0.0013951734539969854,0.058720367682631835,0.05732519422863485,불만제기
음향델타_기타클래스,5,,customer_only,acoustic_delta_recall,-0.005268703898840821,-0.0611169652265543,-0.05584826132771348,배송확인
음향델타_기타클래스,5,,customer_only,acoustic_delta_precision,0.01224020783373303,0.0567132093771438,0.04447300154341077,배송확인
음향델타_기타클래스,5,,customer_only,acoustic_delta_f1,0.007934011962195897,0.02125663218608531,0.013322620223889414,배송확인
음향델타_기타클래스,5,,customer_only,acoustic_delta_recall,0.012859304084720136,-0.1202723146747352,-0.13313161875945534,교환반품
음향델타_기타클래스,5,,customer_only,acoustic_delta_precision,-0.016745131162414828,0.06535411539513258,0.08209924655754741,교환반품
음향델타_기타클래스,5,,customer_only,acoustic_delta_f1,-0.0011224743383180247,-0.0510563992844425,-0.049933924946124475,교환반품
음향델타_기타클래스,5,,customer_only,acoustic_delta_recall,-0.0036429872495445936,0.04007285974499086,0.04371584699453546,구매진행
음향델타_기타클래스,5,,customer_only,acoustic_delta_precision,0.019741182268135316,-0.021475331531297714,-0.04121651379943303,구매진행
음향델타_기타클래스,5,,customer_only,acoustic_delta_f1,0.014719491035280474,-0.00887921241953804,-0.023598703454818515,구매진행
음향델타_기타클래스,5,,customer_only,acoustic_delta_recall,0.010958904109588996,0.2146118721461187,0.2036529680365297,서비스이용
음향델타_기타클래스,5,,customer_only,acoustic_delta_precision,0.018906008555627074,-0.006243464081249206,-0.02514947263687628,서비스이용
음향델타_기타클래스,5,,customer_only,acoustic_delta_f1,0.01580334619169904,0.06336328512766709,0.04755993893596805,서비스이용
음향델타_기타클래스,5,,all,acoustic_delta_recall,0.00684647302904573,0.022821576763485507,0.015975103734439777,환불요청
음향델타_기타클래스,5,,all,acoustic_delta_precision,-0.0035931915366407274,0.0032538628281865156,0.006847054364827243,환불요청
음향델타_기타클래스,5,,all,acoustic_delta_f1,0.0032791689929770884,0.016271892807393384,0.012992723814416296,환불요청
음향델타_기타클래스,5,,all,acoustic_delta_recall,-0.009881422924901129,-0.12055335968379444,-0.11067193675889331,주문취소
음향델타_기타클래스,5,,all,acoustic_delta_precision,0.0014084215560931368,0.00464982819594989,0.003241406639856753,주문취소
음향델타_기타클래스,5,,all,acoustic_delta_f1,-4.8042277203896866e-05,-0.017088554368850373,-0.017040512091646476,주문취소
